,price,production_year,mileage,fuel_type,mark,model,fiscal_power
145,70000,2011.0,4999,Diesel,Renault,Kangoo,4
146,49000,2003.0,179999,Diesel,Peugeot,Partner,7
147,210000,2015.0,109999,Diesel,Hyundai,Santa Fe,8
148,76000,2007.0,249999,Diesel,Citroen,C4,6
149,40000,2000.0,24999,Essence,Seat,Ibiza,6
150,105000,2013.0,109999,Diesel,Ssangyong,Kyron,8
151,59000,2001.0,249999,Diesel,Autres,Autres,7
152,210000,2009.0,169999,Diesel,Mercedes-Benz,Classe CLS,12
153,105000,2010.0,119999,Diesel,Renault,Megane,6
154,99000,2016.0,39999,Diesel,Fiat,Punto,6
155,52000,1999.0,4999,Diesel,Renault,Megane,6
156,85000,2002.0,249999,Diesel,Opel,Zafira,8
157,238000,2011.0,109999,Diesel,Volkswagen,Touareg,12
158,39000,2000.0,179999,Essence,Peugeot,206,7
159,289000,2017.0,39999,Diesel,Hyundai,Santa Fe,9
160,120000,2013.0,44999,Diesel,Renault,Kangoo,6
161,155000,2011.0,129999,Diesel,Mitsubishi,pajero,6
162,115000,2009.0,149999,Diesel,Jaguar,X-Type,8
163,115000,2009.0,149999,Diesel,Hyundai,Santa Fe,8
164,115000,2011.0,109999,Diesel,Ford,Mondeo,8
165,62000,1994.0,24999,Diesel,Mercedes-Benz,190,6
166,57000,2009.0,39999,Diesel,Renault,19,6
167,115000,2013.0,99999,Diesel,Dacia,Duster,6
168,75000,2014.0,109999,Diesel,Renault,Symbol,6
169,83000,2000.0,199999,Essence,Mercedes-Benz,220,6
170,50000,2007.0,74999,Essence,Dacia,Logan,6
171,38000,2010.0,59999,Essence,BYD,F1,6
172,150000,2014.0,44999,Diesel,Nissan,Juke,6
173,90000,2013.0,199999,Diesel,Fiat,Doblo,6
174,75000,2013.0,84999,Essence,Hyundai,i 20,7
175,45000,2003.0,199999,Diesel,Peugeot,Partner,7
176,135000,2009.0,159999,Diesel,Volkswagen,Passat,6
177,135000,2009.0,159999,Diesel,Volkswagen,Passat,6
178,115000,2008.0,19999,Essence,mini,cooper,6
179,189000,2015.0,69999,Diesel,Volvo,other,6
180,59000,1994.0,249999,Diesel,Renault,19,6
181,114000,2008.0,249999,Diesel,Volkswagen,Passat,6
182,120000,2004.0,139999,Diesel,Toyota,RAV 4,6
183,71000,2007.0,189999,Diesel,Renault,Kangoo,6
184,248000,2016.0,19999,Diesel,Nissan,Qashqai,6
185,120000,2008.0,179999,Diesel,Volkswagen,Touareg,6
186,58000,2011.0,109999,Essence,Renault,Clio,7
187,40000,2004.0,249999,Essence,Fiat,Palio,7
188,30300,1999.0,29999,Diesel,Citroen,C15,6
189,228000,2009.0,189999,Diesel,Mercedes-Benz,220,6
190,228000,2014.0,189999,Diesel,Mercedes-Benz,220,9
191,76000,2013.0,109999,Diesel,Fiat,Doblo,5
192,48000,2011.0,119999,Essence,Dacia,Logan,6
193,260000,2016.0,149999,Diesel,Volkswagen,GOLF 7,6
194,62000,1999.0,299999,Diesel,Volkswagen,Bora,8
195,47000,2009.0,139999,Diesel,Daihatsu,Sirion,6
196,62000,1999.0,299999,Diesel,Volkswagen,Bora,8
197,158000,2013.0,149999,Diesel,Volkswagen,Passat,8
198,73000,2014.0,64999,Diesel,Fiat,Doblo,5
199,179000,2017.0,54999,Diesel,Hyundai,Elantra,6
200,180000,2014.0,54999,Diesel,Kia,Sportage,12
201,40000,2012.0,24999,Diesel,Dacia,Logan,6
202,340000,2012.0,69999,Diesel,Land Rover,Range Rover Evoque,8
203,82000,2009.0,109999,Essence,Fiat,500,8
204,100000,2012.0,119999,Diesel,Dacia,Duster,6
205,40000,2008.0,159999,Essence,Dacia,Logan,8
206,225000,2014.0,39999,Diesel,Hyundai,ix 35,6
207,44000,1992.0,9999,Diesel,Volkswagen,GOLF 2,6
208,50000,2004.0,179999,Diesel,Toyota,Corolla,8
209,105000,2016.0,49999,Diesel,Fiat,Doblo,5
210,140000,2013.0,159999,Diesel,Mitsubishi,L200,10
211,120000,2014.0,99999,Diesel,Dacia,Duster,6
212,132000,2014.0,119999,Diesel,Renault,Megane,6
213,96000,2015.0,89999,Diesel,Dacia,Logan,6
214,120000,2014.0,99999,Diesel,Dacia,Duster,6
215,132000,2014.0,84999,Diesel,Renault,Megane,6
216,139000,2013.0,79999,Diesel,Mitsubishi,L200,10
217,135000,2013.0,89999,Diesel,Mitsubishi,L200,10
218,285000,2014.0,44999,Diesel,Volvo,XC60,8
219,220000,2015.0,89999,Diesel,Volkswagen,CC,8
220,109000,2013.0,139999,Diesel,Dacia,Lodgy,6
221,82000,2013.0,119999,Diesel,Fiat,Doblo,5
222,159000,2015.0,94999,Diesel,Skoda,Octavia,8
223,42000,2008.0,99999,Essence,Peugeot,206,6
224,58000,2009.0,119999,Diesel,Dacia,Logan,6
225,117000,2008.0,169999,Diesel,Volkswagen,GOLF 5,6
226,61500,2003.0,299999,Diesel,Renault,Laguna,6
227,99000,2010.0,149999,Diesel,Citroen,C5,8
228,83000,2002.0,29999,Diesel,Volkswagen,GOLF 4,6
229,30000,2007.0,94999,Essence,Chery,Eastar,6
230,99000,2009.0,109999,Essence,mini,cooper,8
231,195000,2015.0,9999,Diesel,Nissan,Pathfinder,6
232,58500,2014.0,69999,Essence,Peugeot,107,6
233,47000,2004.0,189999,Essence,Renault,Clio,6
234,45000,2003.0,249999,Diesel,Renault,Clio,6
235,95000,2015.0,79999,Diesel,Dacia,Dokker,6
236,123000,2017.0,39999,Diesel,Fiat,500,5
